Date,Startup,Industry,Locations,Investors,Type,Turnover
2016-01-19,Dailyobjects,Ecommerce,New-Delhi,"Unilazer Fund,Xc2Xa0 Phanindra Sama, Peyush Bansal",Private,14
2016-01-19,Indus Os,Tech,Mumbai,"Omidyar Network,",Private,50
2016-01-19,Collegedunia,Consumer Internet,New-Delhi,Umang Kumar,Seed,4
2016-01-19,Villgro,Finance,Chennai,"Lemelson Foundation, Michael And Susan Dell Foundation",Private,35
2016-01-20,Industrybuying,Ecommerce,New-Delhi,Trifecta Capital,Private,18
2016-01-20,Just Buy Live,Ecommerce,Mumbai,Alpha Capital,Private,200
2016-01-20,Imbesharam,Ecommerce,"New-Delhi, Us",Undisclosed Us Based Investors,Private,40
2016-01-20,Moodoo,Consumer Internet,"Mumbai, Uk",Saxc3Xafd Business School Seed Fund,Seed,0
2016-01-21,Fisdom,Consumer Internet,Bangalore,Rob Chandra,Seed,5
2016-01-21,Easypolicy,Consumer Internet,Noida,Unilazer Ventures,Private,22
2016-01-21,Housingcom,Consumer Internet,Mumbai,Softbank Corp,Private,150
2016-01-21,Creo,Tech,Bangalore,"Sequoia Capital, Beenext Ventures, India Quotient, Anand Chandrasekaran",Private,30
2016-01-22,Shabdanagari,Consumer Internet,Kanpur,Kanpur Angels  Others,Seed,2
2016-01-22,Snapbizz,Ecommerce,Bangalore,"Jungle Ventures, Taurus Value Creation, Konly Venture, Blume Ventures",Private,72
2016-01-22,Silvan,Tech,Bangalore,The Chennai Angels,Seed,5
2016-01-22,Eps,Tech,Mumbai,Apis Partners,Private,350
2016-01-22,Qubole,Tech,Bangalore,"Institutional Venture Partners, Norwest Venture Partners, Lightspeed Venture Partners, Crv",Private,300
2016-01-25,Siftr Labs,Consumer Internet,Mumbai,Venture Catalysts,Seed,2
2016-01-25,Power2Sme,Consumer Internet,Gurgaon,"Nandan Nilekani, Accel Partners, Kalaari Capital And Inventus Capital",Private,210
2016-01-27,Buildzar,Ecommerce,Gurgaon,Puneet Dalmia,Private,40
2016-01-27,Applicate,Tech,Bangalore,Undisclosed Investors,Seed,10
2016-01-28,Zebi Yet To Launch,Tech,Hyderabad,Un Disclosed Investors,Seed,10
2016-01-28,Truce,Fmcg,Mumbai,"Anupam Mittal, Amit Gupta, Utsav Somani, Neeraj Goenka, Farooq Adam Mukadam",Seed,4
2016-01-29,Qriyo,Consumer Internet,Jodhpur,Idein Ventures,Seed,2
2016-01-29,Aisle,Consumer Internet,Bangalore,"Termsheet, Ah Ventures",Seed,2
2016-01-29,Freshmenu,Consumer Internet,Bangalore,"Zodius Technology Fund, Lightspeed Venture Partners",Private,170
2016-01-29,Truebil,Ecommerce,Mumbai,"Kalaari Capital, Inventus Capital, Tekton Ventures, Kae Capital",Private,52
2016-01-29,Rare Media,Tech,New-Delhi,Info Edge India Ltd,Private,11
