Date,Startup,Industry,Locations,Investors,Type,Turnover
2017-12-13,Docsapp,Tech,Bangalore,Bessemer Venture Partners,Private,72
2017-12-14,Tea Box,Ecommerce,Bangalore,Rb Investments,Private,70
2017-12-14,Transversal Technologies,Tech,Bangalore,Matrix Partners,Private,60
2017-12-14,Curofy,Tech,Gurgaon,Roundglass Partners Llc,"Angel, Seed",2
2017-12-14,Homelane,Ecommerce,Bangalore,"Accel Partners, Sequoia Capital, Rb Investments",Private,100
2017-12-15,Purplle,Ecommerce,Mumbai,"Mountain Pain Capital, Suncoast Investments","Angel, Seed",5
2017-12-19,Springboard,Tech,Bangalore,"Costanoa, Learn Capital, Jyoti Bansal",Private,95
2017-12-19,9Stacks,Tech,Delhi,"Swati Gupta, Purnima Khandelwal, Maheshwar Peri, Sanjay Singh",Private,15
2017-12-20,Your Quote,Tech,Bangalore,"Axilor Ventures, E-City Ventures Atul Goel",Private,10
2017-12-20,Spandana Sphoorty,Finance,Hyderabad,"Kedaraa Capital, Ontario Teachers",Private,195
2017-12-21,Indus Os,Tech,Mumbai,Omidyar Network,Private,40
2017-12-21,Easyecom,Ecommerce,Bangalore,"Ambarish Gupta, Aneesh Reddy, Bold Ventures, Vona Investments","Angel, Seed",2
2017-12-26,Specsmakers,Ecommerce,Chennai,Eight Roads Ventures India,Private,100
2017-12-27,Foyrcom,Tech,Hyderabad,Jones Lang Lasalle,Private,38
2017-11-02,Prest Loans,Finance,New-Delhi,"Manish Poddar, Arun Garg, Parmeshwar Sharma",Seed,6
2017-11-03,Vagupu,Tech,Bangalore,Undisclosed Investors,Seed,10
2017-11-03,Kalpnik Technologies,Tech,Bangalore,Venture Catalysts,Seed,5
2017-11-04,Hevo Data,Tech,Bangalore,Idg Ventures India,Private,10
2017-11-07,Doctalk,Tech,Mumbai,"Matrix Partners India, Khosla Ventures",Private,50
2017-11-07,Coveiot,Tech,Bangalore,"Titan Co Ltd, Tata Groups Watch And Jewellery Retailing Firm",Private,50
2017-11-08,Talentedge,Tech,Bangalore,Lumis Partners,Private,76
2017-11-08,Fisdom,Finance,Bangalore,Quona Capital Management,Private,30
2017-11-08,Farmlink,Ecommerce,Mumbai,"Pioneering Ventures, Syngenta Ag",Private,30
2017-11-08,Openapp,Tech,Bangalore,"Axilor Ventures, Kumar Vembu",Private,36
2017-11-09,Nopaperforms,Tech,Delhi,Info Edge,Seed,9
2017-11-10,Qubole,Tech,Bangalore,"Singtel, Innov8, Harmony Partners",Private,250
2017-11-13,Universal Sportsbiz,Ecommerce,Mumbai,Accel Partners,Private,150
2017-11-14,Active Ai,Tech,Bangalore,Vertex Ventures,Private,82
2017-11-15,Sumeru,Tech,Bangalore,Undisclosed Investors,Seed,9
2017-11-15,Omnia Information,Tech,Delhi,Omidyar Network,Private,30
2017-11-17,Kanhaiya,Inspiration,Hyderabad,Undisclosed Investors,"Angel, Seed",2
2017-11-20,Onn Bikes,Tech,Mumbai,Z Nation Lab,"Angel, Seed",7
2017-11-21,Rapido,Tech,Hyderabad,"Skycatcher Fund, Aravind Sanka","Angel, Seed",3
2017-11-21,Heckyl,Tech,Mumbai,"Notion Capital, Idg Ventures",Private,27
2017-11-21,Nuvepro,Tech,Mumbai,1Crowd,"Angel, Seed",4
2017-11-21,Redbook,Tech,Mumbai,"Vida Ventures, Dr Aniruddha Malpani","Angel, Seed",2
2017-11-21,Portea,Health Care,Bangalore,"Sabre Partners, Memg Cdc",Private,260
2017-11-21,Epiq Capital,Finance,Mumbai,Global Institutional Investors,Private,2000
2017-11-24,Idg Ventures,Finance,Bangalore,Uniliver Ventures,Private,100
2017-11-24,Tempogo,Tech,Goa,Javelin Startupo Victory Fund,"Angel, Seed",2
2017-11-27,Edelweiss,Finance,Mumbai,Undisclosed Investors,Private,2700
2017-11-27,Era,Tech,Mumbai,Amit Patni,"Angel, Seed",0
2017-11-27,Smaaash,Tech,Mumbai,Sixth Sense Ventures,Private,38
2017-11-28,Chumbak,Lifestyle,Bangalore,Gaja Capital,Private,130
2017-11-28,Fr8,Tech,Chennai,Ifmr Capital,Debt,15
2017-11-28,Mobiefit,Health Care,Goa,"Nb Ventures, Mediassist","Angel, Seed",14
2017-11-28,Stanza Living,Tech,Delhi,"Matrix Partners, Accel",Private,20
2017-10-03,Ola,Consumer Internet,Bangalore,"Tencent, Softbank Group",Private,1100
2017-10-04,Collpoll,Consumer Internet,Bangalore,Sprout Angels,Seed,3
2017-10-04,Phonepe,Consumer Internet,Bangalore,Flipkart,Private,387
2017-10-05,Little Black Book,Consumer Internet,New-Delhi,"Blume Ventures, Idg Ventures  Indian Angel Network",Private,10
2017-10-05,Oorjan,Tech,Mumbai,Globevestor,Seed,4
2017-10-05,Zefo,Ecommerce,Bangalore,"Sequoia India, Helion Venture Partners, Beenext",Private,92
2017-10-06,Yaantra,Ecommerce,New-Delhi,Carpediem Capital,Private,31
2017-10-06,Farm Taaza,Tech,Bangalore,"Epsilon Venture Partners, Tara India Fund Iv And Others",Private,80
2017-10-06,Drivezy,Consumer Internet,Bangalore,"Das Capital, Axan Partners, Das Capital And It Farm",Private,100
2017-10-06,Slice Pay,Consumer Internet,Bangalore,"Das Capital, Simile Ventures",Private,20
2017-10-09,Mygubbi,Ecommerce,Bangalore,"Firoze Irani, Vipul Parekh, Ananda Kallugadde, Rajesh K Murthy",Private,27
2017-10-09,Onestepup,Tech,New-Delhi,Orient Blackswan,Seed,3
2017-10-10,Parallel Dots,Tech,Gurgaon,"Multipoint Capital,",Private,14
2017-10-10,Easy Diner,Consumer Internet,Gurgaon,Saama Capital And Dsg Consumer Partners,Private,45
2017-10-11,Meesho,Ecommerce,Bangalore,"Saif Partners, Ycombinator, Venture Highway",Private,31
2017-10-11,Stanplus,Logistics,Hyderabad,Kstart Capital,Private,11
2017-10-12,Uclid,Tech,Hyderabad,Undisclosed Investors,Seed,2
2017-10-13,Policybazaar,Consumer Internet,Gurgaon,"Wellington Management, Dg Ventures India, True North",Private,770
2017-10-13,Gapoon,Consumer Internet,Bangalore,"Vida Ventures, Snehal Mantri, Anshu Bahadur",Seed,2
2017-10-13,Chaayos,Ecommerce,Gurgaon,Tiger Global Management,Private,20
2017-10-16,Krazybee,Consumer Internet,Bangalore,"Xiaomi Technologies, Shunwei Capital",Private,80
2017-10-16,Renew Buy,Consumer Internet,New-Delhi,Amicus Capital,Private,92
2017-10-17,Fingerlix,Consumer Internet,Bangalore,"Accel Partners, Zephyr Peacock",Private,70
2017-10-18,Bank Bazaar,Consumer Internet,Chennai,Experian,Private,70
2017-10-18,Blackbuck,Logistics,Bangalore,Innoven Capital,Private,77
2017-10-18,Lenden Club,Consumer Internet,Mumbai,Undisclosed Investor,Seed,5
2017-10-23,Toppr,Consumer Internet,Mumbai,"Saif Partners, Helion Ventures, Fil Capital Management",Private,70
2017-10-23,Raw Pressery,Food Beverages,Mumbai,"Dsg Consumer Partners, Sequoia Capital, Saama Capital",Private,60
2017-10-23,Cashe,Consumer Internet,Mumbai,Ifmr Capital,Debt,31
2017-10-23,Park Easy,Consumer Internet,Kolkata,Rockstart Accelerator,Seed,1
2017-10-24,Fyre,Food Beverages,Mumbai,Venture Catalysts,Seed,5
2017-10-24,Ziploan,Consumer Internet,New-Delhi,"Matrix Partners India, Waterbridge Ventures, Whiteboard Capital, Sarbvir Singh",Private,30
2017-10-24,Skillenza,Consumer Internet,Bangalore,"Blume Ventures, Indian Angel Network",Seed,7
2017-10-25,Spotdraft,Consumer Internet,Gurgaon,"Hunch Ventures, Spiral Ventures, 500 Startups, Singapore Angel Network, Citrus Payments",Seed,6
2017-10-26,Big Basket,Ecommerce,Bangalore,Helion Ventures Partners,Private,50
2017-10-27,Ofbusiness,Tech,Gurgaon,Kotak Mahindra Bank,Debt,38
2017-10-28,Cashfree,Tech,New-Delhi,Y Combinator,Seed,1
2017-10-28,Ola,Consumer Internet,Bangalore,Ani Technologies Pvt Ltd,Private,77
2017-10-30,Goldfarm,Food Beverages,Coimbatore,Mahindra  Mahindra And Infuse Ventures,Private,20
2017-10-31,Netmeds,Ecommerce,Chennai,Tanncam Investment  Sistema Asia Fund,Private,140
2017-10-31,Mse,Finance,Mumbai,"Ilfs, Trust Capital, Rosy Blue Securities, Radhakrishan Damani And Rakesh Jhunjhunwala",Private,320
2017-09-01,Aahaa Stores,Ecommerce,Chennai,Yournest Angel Fund,Private,10
2017-09-01,Mfine,Consumer Internet,Bangalore,"Stellaris Venture Partners, Mayur Abhaya, Rohit Ma",Private,15
2017-09-01,Canvera,Consumer Internet,Mumbai,Infoedge,Private,13
2017-09-04,Primaryio,Tech,Pune,"Accel Partners, Exfinity Ventures, Partech Ventures",Private,56
2017-09-05,Shubh Loans,Consumer Internet,Bangalore,"Sri Capital, Beenext, Pravega Ventures",Private,15
2017-09-05,Nest Education,Tech,Gurgaon,"Michael And Susan Dell Foundation, Anand Mahindra",Seed,6
2017-09-06,Lending Kart,Consumer Internet,Ahmedabad,"Bertelsmann India, Mayfield Capital, Saama Capital, Darrin Capital",Private,108
2017-09-06,Gofro,Consumer Internet,New-Delhi,"His Co Ltd, Makemytrip",Private,100
2017-09-06,Oncostem,Health Care,Bangalore,"Sequoia Capital India, Artiman Ventures",Private,60
2017-09-06,Power2Sme,Ecommerce,Gurgaon,"International Finance Corporation Ifc, Inventus Capital Partners, Accel Partners, Kalaari Capital, And Nandan Nilekani,",Private,260
2017-09-07,Credit Vidya,Consumer Internet,Mumbai,Matrix Partners,Private,50
2017-09-07,Oyo,Consumer Internet,Gurgaon,"Softbank Group, Sequoia Capital India, Lightspeed Venture Partners, Greenoaks Capital, Hero Enterprise",Private,2500
2017-09-07,Early Salary,Consumer Internet,Pune,Ifmr Capital,Debt,8
2017-09-07,Seniority,Ecommerce,Pune,Rpg Enterprises,Private,10
2017-09-08,Aye Finance,Consumer Internet,New-Delhi,"Triodos Investment Management,",Debt,69
2017-09-11,Ecom Express,Logistics,New-Delhi,Warburg Pincus,Private,300
2017-09-11,Call Health,Consumer Internet,Hyderabad,"Sachin Tendulkar, Pv Sindhu, Pullela Gopichand",Private,62
2017-09-12,3Hcare,Consumer Internet,New-Delhi,Undisclosed Investor,Seed,1
2017-09-12,Tonbo Imaging,Tech,Bangalore,"Wrv Capital, Qualcomm Ventures, Edelweiss Private Equity, Artiman Ventures",Private,170
2017-09-12,Get My Parking,Consumer Internet,New-Delhi,"Ian Fund, Beenext, Indian Angel Network",Private,30
2017-09-13,Glowroad,Consumer Internet,Bangalore,"Accel Partners,",Private,20
2017-09-13,Oyo,Consumer Internet,Gurgaon,China Lodging Group,Private,100
2017-09-13,Unacademy,Consumer Internet,Mumbai,"Sequoia Capital India, Saif Partners, Nexus Venture Partners And Blume Ventures,",Private,115
2017-09-13,Heterogenous,Tech,Chennai,"Chennai Angels, Keiretsu Forum  Others",Seed,8
2017-09-14,Smaaash,Tech,Mumbai,Ecl Finance,Private,440
2017-09-14,Wheelstreet,Consumer Portal,Bangalore,Y Combinator,Seed,1
2017-09-18,The Moms Co,Ecommerce,Gurgaon,"Dsg Consumer Partners, Saama Capital",Private,10
2017-09-19,High Radius,Tech,Hyderabad,Susquehanna Growth Equity Llc,Private,500
2017-09-21,Savebc,Finance,Gaya,Incofin Investment Management,Private,60
2017-09-21,Homergize,Ecommerce,Bangalore,Lg Chandrasekhar,Private,10
2017-09-22,Yatracom,Ecommerce,Gurgaon,Innoven Capital India,Debt,154
2017-09-25,Synup,Tech,Bangalore,"Vertex Ventures, Prime Venture Partners",Private,60
2017-09-25,Rapido,Consumer Internet,Bangalore,Battery Road Digital Holdings Llc,Seed,4
2017-09-25,Sportobuddy,Consumer Internet,Mumbai,Mehul Shah,Seed,2
2017-09-27,Transerv,Tech,Mumbai,"Ilfs Investment Managers, Omidyar Network",Private,16
2017-09-27,Pitstop,Consumer Internet,Bangalore,"Blume Ventures, Goldbell Group, Anurag Srivastava, Shailesh Rao, Amiya Pathak, Rajesh Yohanan And Rahul Garg",Private,10
2017-09-27,Myupchar,Consumer Internet,New-Delhi,Letsventure,Seed,3
2017-09-28,Aadyah,Tech,Bangalore,Keiretsu Forum,Private,10
2017-08-01,Touchkin,Tech,Bangalore,Kae Capital,Private,13
2017-08-02,Zepo,Consumer Internet,Mumbai,"Kunal Shah, Letsventure, Anupam Mittal, Hetal Sonpal",Seed,5
2017-08-02,Click2Clinic,Consumer Internet,Hyderabad,"Narottam Thudi, Shireesh Palle",Seed,8
2017-08-03,Speedbox,Logistics,Mumbai,Cismat Cargo Services Pvt Ltd,Seed,3
2017-08-08,New Castle Technologies,Tech,Chennai,Undisclosed Investors,Seed,2
2017-08-08,My Forex Eye,Consumer Internet,New-Delhi,"Rahul Dev Kumar, Rajesh Mahajan, Ankit Sharma And Others",Seed,2
2017-08-09,Truxapp,Logistics,New-Delhi,"Venugopal Dhoot, Ajay Bhatia, Tarun Khandelwal, Ganpat Singhvi, Mandhian Family  Others",Seed,31
2017-08-09,Crofarm,Tech,Gurgaon,Factor[E] Ventures,Seed,8
2017-08-11,Flipkart,Ecommerce,Bangalore,Softbank,Private,25000
2017-08-11,Ola,Consumer Internet,Gurgaon,Tekne Capital Management,Private,360
2017-08-14,Digilend,Tech,Mumbai,"Incred Finance, Fullerton India Credit Company Ltd",Seed,3
2017-08-15,Knab Finance,Consumer Internet,Bangalore,"Incred, Krishnakumar Natarajan, Ravi Bhardwaj",Seed,4
2017-08-20,Rootefy,Ecommerce,New-Delhi,"Abhinav Gupta,",Seed,2
2017-08-21,Uniphore,Tech,Chennai,Idg Ventures,Private,68
2017-08-21,Cerebroz,Consumer Internet,Vadodara,Undisclosed Hnis,Seed,7
2017-08-23,Dhruva Space,Tech,Pune,"Riverwood Capital, Sequoia Capital India, Nexus Venture Partners, Tenaya Capital",Private,800
2017-08-23,Bombay Shaving Company,Ecommerce,New-Delhi,Fireside Ventures,Private,23
2017-08-23,Indiez,Tech,Bangalore,Haresh Chawla,Seed,5
2017-08-24,Ezetap,Tech,Bangalore,"Js Capital Management, Social Capital, Horizons Ventures,",Private,160
2017-08-25,Ink Monk,Consumer Internet,Chennai,"Vamm Ventures, Raksul, Dena",Seed,8
2017-08-25,Medinfi,Consumer Internet,Bangalore,"Pbs Srinivas, Vinod Martin,",Seed,1
2017-08-28,Mobikon,Tech,Pune,"Sistema Asia Fund, C31 Ventures, Qualgro",Private,70
2017-08-29,Cure Fit,Consumer Internet,Bangalore,"Accel Partners, Idg Ventures, Kalaari Capital,Xc2Xa0 Uc-Rnt Fund",Private,250
2017-08-29,Doxper,Tech,Mumbai,"Idal Health, Growx Ventures, Capier Investments, Globevestor  Others",Seed,8
2017-08-30,Treebo,Consumer Internet,Bangalore,"Ward Ferry Management And Karst Peak Capital,",Private,340
2017-08-30,Medgenome,Tech,Bangalore,"Sequoia India, Sofina Sa, Zodius Capital, Kris Gopalakrishnan, Lakshmi Narayanan,",Private,300
2017-07-01,Billion Loans,Consumer Internet,Bangalore,Reliance Corporate Advisory Services Ltd,Seed,10
2017-07-03,Ecolibriumenergy,Tech,Ahmedabad,"Infuse Ventures, Jll",Private,26
2017-07-04,Droom,Ecommerce,Gurgaon,"Asset Management Asia Ltd, Digital Garage Inc",Private,200
2017-07-05,Jumbotail,Ecommerce,Bangalore,"Kalaari Capital, Nexus India Capital Advisors",Private,85
2017-07-05,Moglix,Ecommerce,Noida,"International Finance Corporation, Rocketship, Accel Partners, Jungle Ventures, Shailesh Rao, Venture Highway",Private,120
2017-07-05,Timesaverz,Consumer Internet,Mumbai,Bccl,Private,10
2017-07-07,Clip App,Consumer Internet,Bangalore,"India Quotient, Shunwei Capital",Seed,10
2017-07-10,Autoroxco,Tech,Hyderabad,Mitsui  Co,Private,30
2017-07-11,Fabogo,Consumer Internet,Pune,Dunamis Ventures Pte Ltd,Private,22
2017-07-11,Flickstree,Consumer Internet,Mumbai,"Venture Catalysts, Sourav Ganguly, Ankit Aditya, Moksh Sports Ventures",Seed,5
2017-07-12,Innoviti,Tech,Bangalore,"Sbi-Fmo Fund, Bessemer Venture Partners, Catamaran Ventures",Private,185
2017-07-14,Qwikspec,Tech,Bangalore,"Brigade Innovations Llp, Tv Mohandas Pai, Suhail Rahman, Bobby Reddy, M George Oommen",Seed,5
2017-07-14,Chumbak,Ecommerce,Bangalore,Blacksoil Capital Pvt Ltd,Private,17
2017-07-17,Increff,Tech,Bangalore,"Sequoia Capital, Grey Orange, Rajesh Ramaiah, Anshuman Das, Rishi Das",Seed,20
2017-07-17,Vayana,Tech,Pune,"Idg Ventures India Advisors, Jungle Ventures",Private,40
2017-07-19,Rentomojo,Consumer Internet,Bangalore,"Ain Capital Ventures, Renaud Laplanche",Private,100
2017-07-19,Playablo,Tech,Bangalore,Abi-Showatech India Ltd,Seed,6
2017-07-20,Trupay,Tech,Gurgaon,"Kae Capital, Ms Partners,",Seed,7
2017-07-21,Brick2Wall,Ecommerce,Gurgaon,"Subramani Somasundaram, Sundeep Sahni, Mayank Mittal  Others",Seed,2
2017-07-25,Noticeboard,Consumer Internet,Bangalore,"Stellaris Venture Partners,",Private,12
2017-07-25,Byjus,Consumer Internet,Bangalore,Tencent Holdings,Private,350
2017-07-26,Fab Hotels,Consumer Internet,New-Delhi,Goldman Sachs,Private,250
2017-07-26,Thinkerbell,Consumer Internet,Bangalore,"Indian Angel Network, Anand Mahindra",Seed,2
2017-07-27,1Mg,Ecommerce,Gurgaon,"Hbm Healthcare Investments, Maverick Capital Ventures, Sequoia India, Omidyar Network And Kae Capital",Private,150
2017-07-28,Bigstylist,Consumer Internet,Mumbai,Info Edge India Ltd,Private,12
2017-06-02,Rentongo,Ecommerce,Bangalore,Tvs Motor Company,Seed,2
2017-06-05,Goomo,Consumer Internet,Mumbai,Emerging India,Private,500
2017-06-06,Spinny,Ecommerce,Gurgaon,"Blume Ventures, Indian Angel Network, Kunal Shah, Sandeep Tandon",Private,10
2017-06-06,Bhive Workspace,Consumer Internet,Bangalore,Blume Ventures,Private,12
2017-06-06,Wayforward,Consumer Internet,New-Delhi,"Harsh Mahajan, Farhan Naqvi, Sreepathy Viswanathan",Seed,10
2017-06-07,Ziploan,Consumer Internet,New-Delhi,Waterbridge Ventures,Seed,6
2017-06-07,Growfitter,Consumer Internet,Mumbai,Sque Capital,Seed,6
2017-06-08,Stratfit,Consumer Internet,Hyderabad,Bodhtree Consulting Limited,Seed,2
2017-06-08,Multiplier Solutions,Tech,Hyderabad,Norwest Venture Partners,Private,15
2017-06-08,Abi Health,Tech,Bangalore,Norwest Venture Partners,Private,15
2017-06-08,Stockal,Consumer Internet,Bangalore,"Mohan Alexander, R Natarajan, Vikrant Varshney, Amit Sinha",Seed,4
2017-06-09,Guiddoo,Consumer Internet,Mumbai,"Pawan Borle, Nirmal Singh, Manish Prasad, Vineet Varma, Nick Haulkoury, Abhai S Rao",Seed,3
2017-06-09,Esahaiin,Consumer Internet,Hyderabad,"Dr Ramesh Ayyala, Satya Muthyala",Seed,2
2017-06-12,Lending Kart,Consumer Internet,Ahmedabad,Yes Bank,Debt,78
2017-06-12,Boxxai,Tech,Bangalore,"Unicorn India Ventures, Venky Krishnakumar, Suresh Shankar, Vivek Bhargava",Private,5
2017-06-12,Peesafein,Health Care,New-Delhi,"Venture Catalysts, Alfa Capital, Green Shots Capital, Real Time Ventures",Private,10
2017-06-12,Vista Rooms,Consumer Internet,Mumbai,"Artha India Ventures, Singularity Holdings, Rajan Anandan, Girish Mathrubootham",Seed,8
2017-06-12,Coverfox,Consumer Internet,Mumbai,Transamerica,Private,150
2017-06-13,Goodera,Tech,Bangalore,"Nexus Venture Partners, Omidyar Network",Private,55
2017-06-14,Ola,Consumer Internet,Bangalore,Tekne Capital Management Llc,Private,500
2017-06-14,Mrneeds,Consumer Internet,Noida,Undisclosed Investors,Seed,5
2017-06-15,Moneytap,Consumer Internet,Bangalore,"Sequoia India, Nea, Prime Venture Partners",Private,123
2017-06-16,Goodbox,Ecommerce,Bangalore,"Nexus Venture Partners, Mekin Maheshwari",Private,10
2017-06-16,Fincash,Consumer Internet,Mumbai,"Mohammed Khan, Sameer Narayan  Others",Seed,1
2017-06-16,Portdesk,Tech,Noida,Alphard Maritime Group,Seed,20
2017-06-19,Unbxd,Tech,Bangalore,Eight Roads Ventures,Private,125
2017-06-19,Darwinbox,Tech,Hyderabad,"Lightspeed India Partners, Endiya Partners, 3One4 Capital Advisors Llp, Startupxseed Ventures Llp",Private,40
2017-06-20,Forevershop,Consumer Internet,Bangalore,91Makercom,Seed,3
2017-06-20,Insiderin,Consumer Internet,Mumbai,Paytm,Private,52
2017-06-21,Fynd,Ecommerce,Mumbai,"Iifl Seed Ventures, Kae Capital, Fj Labs, Singularity Ventures, Growx, Tracxn Labs, Axis Capital",Private,24
2017-06-21,Grow Fit,Consumer Internet,Bangalore,"Manipal Education And Medical Group Memg, Sar Group, The Grover Trust",Private,45
2017-06-21,Fabulyst,Tech,Hyderabad,Ibhubs,Seed,2
2017-06-21,Mswipe,Tech,Mumbai,"Uc-Rnt Fund, Matrix Partners, Alcon Edge Capital, Dsg Consumer Partners",Private,310
2017-06-22,Julia Computing,Tech,Bangalore,"General Catalyst, Founder Collective",Private,46
2017-06-22,Kissht,Consumer Internet,Mumbai,"Endiya Partners, Ventureast",Private,20
2017-06-22,Explore Life Traveling,Consumer Internet,Bangalore,"Mekin Maheshwari, Bharat Vijay, Krish Seshadri, Amar Arsikere",Seed,5
2017-06-23,Loan Tap,Consumer Internet,Mumbai,"Kae Capital, India Quotient, Ifmr, And Mas Financial Services Ltd",Private,40
2017-06-23,Voxweb,Consumer Internet,Mumbai,Undisclosed Investors,Seed,10
2017-06-26,Hug Innovations,Tech,Hyderabad,"Mohit Srivastav, Kishore Ganji, Venkat Vallabhaneni, Rajeev Menon",Private,50
2017-06-26,Flipkart,Ecommerce,Bangalore,Naspers,Private,710
2017-06-26,V Resorts,Consumer Internet,Noida,"Seedfund, Rb International",Private,40
2017-06-27,Stashfin,Consumer Internet,New-Delhi,"Snow Leopard Ventures, Alto Partners",Private,50
2017-06-27,Spares Hub,Ecommerce,Pune,"The Chennai Angels, Anthill Scale Ventures, Esvee Technologies Inc, Inc95 Consulting",Seed,3
2017-06-28,Rubique,Consumer Internet,Mumbai,"Kalaari Capital, Udayan Goyal",Private,30
2017-06-28,Nikiai,Consumer Internet,Bangalore,"Sapio, Unilazer Ventures",Private,20
2017-06-29,Fitpass,Consumer Internet,New-Delhi,"Abhinav Bindra, Gaurav Marya",Private,10
2017-06-30,Tagos Design,Tech,Bangalore,Undisclosed Investors,Private,50
2017-06-30,Urbanclap,Consumer Internet,Gurgaon,"Vy Capital, Saif Partners, Accel Partner, Bessemer Venture Partners",Private,210
2017-05-01,Ace2Three,Consumer Internet,Hyderabad,Clairvest Group,Private,737
2017-05-01,Power2Sme,Ecommerce,Gurgaon,International Finance Corporation,Private,100
2017-05-02,Innovapptive,Tech,Hyderabad,Hyderabad Angels,Seed,15
2017-05-02,4Tigo,Logistics,Bangalore,"Accel Partners, Nandan Nilekani,",Private,100
2017-05-02,Zippserve,Consumer Internet,Bangalore,Undisclosed Investors,Seed,4
2017-05-03,Ola,Consumer Internet,Bangalore,"Falcon Edge Capital,Xc2Xa0 Capital Advisers",Private,1045
2017-05-03,Sumeru,Tech,Bangalore,Undisclosed Investors,Seed,10
2017-05-05,Balance App,Consumer Internet,Bangalore,Rainmatter,Seed,2
2017-05-08,Yepme,Ecommerce,Gurgaon,"Rainbow Digital Services Pvt Ltd, Ilearnfinance Academy Pvt Ltd",Private,7
2017-05-08,Mygreens,Food Beverages,New-Delhi,"Ajay Relan, Letsventure",Seed,10
2017-05-08,Ace Turtle,Tech,Bangalore,"Vertex Ventures, C31 Ventures",Private,50
2017-05-08,Cure Fit,Tech,Bangalore,"Trifecta Capital Advisors Llp, Prathithi Investment Trust, Rnt Capital, Gokul Rajaram, Aditya Agarwal, Ruchi Sanghvi  Others",Private,32
2017-05-09,Curie Labs,Tech,New-Delhi,Satoshi Studios,Seed,0
2017-05-10,Vidooly,Consumer Internet,Noida,"Times Internet, Gvfl",Private,14
2017-05-10,Shopclues,Ecommerce,Gurgaon,Innoven Capital,Private,77
2017-05-10,Fourth Ambit,Consumer Internet,Bangalore,1Crowd,Seed,6
2017-05-11,Early Salary,Consumer Internet,Pune,"Dg Ventures India, Dewan Housing Finance Corp",Private,40
2017-05-12,Legal Raasta,Consumer Internet,New-Delhi,Impanix Capital,Private,50
2017-05-12,Remit Guru,Consumer Internet,Mumbai,"Infibeam, Ccavenue",Private,5
2017-05-12,Aequm,Ecommerce,Bangalore,Undisclosed Investors,Seed,10
2017-05-15,Zapty,Tech,Bangalore,Ideaspring Capital,Seed,5
2017-05-16,Telr,Tech,Mumbai,Innovations East,Private,30
2017-05-16,Fynd,Ecommerce,Mumbai,Rocketship,Private,5
2017-05-17,Genie,Consumer Internet,Chennai,Undisclosed Investors,Seed,2
2017-05-17,Paysense,Consumer Internet,Mumbai,Jungle Ventures,Private,53
2017-05-18,The Good Life,Ecommerce,Mumbai,"Ayesha Takia Azmi, Abu Farhan Azmi",Seed,10
2017-05-18,Paytm,Ecommerce,Bangalore,Softbank Group,Private,14000
2017-05-19,Ezcred,Consumer Internet,Bangalore,"Dheeraj Pandey, Rajesh Yohannan, Akash Garg",Seed,10
2017-05-22,Delhivery,Logistics,New-Delhi,Fosun International,Private,300
2017-05-22,Zipgrid,Consumer Internet,Mumbai,"Jll, 1Crowd",Seed,5
2017-05-23,Magicpin,Consumer Internet,Gurgaon,"Lightspeed Venture Partners, Vy Capital,",Private,66
2017-05-23,Box8,Consumer Internet,Mumbai,Trifecta Capital,Private,10
2017-05-24,Gennext Students,Consumer Internet,Mumbai,Undisclosed Investors,Seed,6
2017-05-25,Aye Finance,Finance,Gurgaon,Blue Orchard,Private,80
2017-05-29,Collateral Medical,Ecommerce,Mumbai,Carpediem Capital,Private,35
2017-05-30,Supr Daily,Consumer Internet,Mumbai,"Soma Capital, Great Oaks Ventures, 122 West Ventures",Private,15
2017-05-30,Swiggy,Consumer Internet,Bangalore,"Nasper, Accel India, Saif Partners, Bessemer Venture Partners, Harmony Partners, Norwest Venture Partners",Private,800
2017-05-31,Sastasundar,Ecommerce,Kolkata,Rohto Pharmaceutical,Private,50
2017-05-31,Magicpin,Consumer Internet,Gurgaon,"Lightspeed India Partners, Waterbridge Ventures",Private,70
2017-04-01,Cashe,Consumer Internet,Mumbai,"Mathew Cyriac, Florintree Advisors,",Private,38
2017-04-03,Eruditus,Education,Mumbai,Bertelsmann India,Private,82
2017-04-03,Healthcare,Health Care,Noida,Quadria Capital Advisors,Private,400
2017-04-04,Waycool,Food Beverages,Chennai,Aspada Investments,Private,27
2017-04-04,Perfios,Tech,Bangalore,Bessemer Venture Partners,Private,61
2017-04-04,Whatfix,Tech,Bangalore,"Stellaris Venture Partners, Helion Venture Partners, Powerhouse Ventures, Gokul Rajaram, Girish Mathrubootham, Aneesh Reddy, Vispi Daver",Private,37
2017-04-04,Elasticrun,Tech,Pune,"Kalaari Capital, Norwest Venture Partners",Private,70
2017-04-04,Trukky,Consumer Internet,Ahmedabad,"Keyur Joshi, Pavan Bakeri",Seed,5
2017-04-04,Konsult App,Consumer Internet,New-Delhi,"Koen Bouwers, Lomesh Agarwal, Jeroen Mensen, Pablo Van Den Bosch  Others",Seed,5
2017-04-05,Fingerlix,Consumer Internet,Mumbai,Zephyr Peacock India,Private,30
2017-04-06,Medwell Ventures,Health Care,Bangalore,"Mahindra Partners, Eight Roads Ventures, F-Prime Capital Partners",Private,210
2017-04-06,Mech Mocha,Consumer Internet,Bangalore,"Accel Partners, Shunwei Capital",Private,50
